chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
senate,S000033,Sanders,VT,,Independent,76,0.105263157894737,0.2086227,-26.40835124
senate,S000148,Schumer,NY,,Democrat,76,0.25,0.23114357,-22.49045614
senate,S000320,Shelby,AL,,Republican,76,0.947368421052632,0.89498418,27.72514661
senate,S000770,Stabenow,MI,,Democrat,76,0.315789473684211,0.53746328,0.22303327
senate,S001141,Sessions,AL,,Republican,8,1,0.95761291,27.72514661
senate,S001181,Shaheen,NH,,Democrat,75,0.346666666666667,0.52809296,-0.36766386
senate,S001184,Scott,SC,,Republican,76,0.960526315789474,0.783406,14.2659129
senate,S001194,Schatz,HI,,Democrat,76,0.25,0.1822381,-32.18281473
senate,S001197,Sasse,NE,,Republican,75,0.866666666666667,0.88335097,25.04859475
senate,S001198,Sullivan,AK,,Republican,73,0.931506849315068,0.78782204,14.73064079
senate,S001202,Strange,AL,,Republican,45,0.911111111111111,0.88745216,27.72514661
senate,S001203,Smith,MN,,Democrat,19,0.263157894736842,0.47887047,-1.52013048
senate,T000250,Thune,SD,,Republican,76,0.947368421052632,0.90371292,29.79332222
senate,T000461,Toomey,PA,,Republican,73,0.904109589041096,0.54122477,0.72426964
senate,T000464,Tester,MT,,Democrat,76,0.368421052631579,0.84804325,20.42273211
senate,T000476,Tillis,NC,,Republican,76,0.947368421052632,0.60715152,3.65522853
senate,U000039,Udall,NM,,Democrat,76,0.25,0.37984222,-8.2132684
senate,V000128,Van Hollen,MD,,Democrat,75,0.226666666666667,0.21134884,-26.41643951
senate,W000437,Wicker,MS,,Republican,76,0.960526315789474,0.82396365,17.82624982
senate,W000779,Wyden,OR,,Democrat,76,0.157894736842105,0.33948018,-10.97781682
senate,W000802,Whitehouse,RI,,Democrat,76,0.25,0.2868592,-15.50854907
senate,W000805,Warner,VA,,Democrat,76,0.434210526315789,0.42888002,-5.32370582
senate,W000817,Warren,MA,,Democrat,76,0.0921052631578947,0.20460726,-27.19670645
senate,Y000064,Young,IN,,Republican,76,0.934210526315789,0.83692725,19.16519376
